1,3264
2,1806
3,475
4,509
5,444
6,890
7,868
8,419
9,381
10,297
11,568
12,234
13,369
14,1994
15,368
16,750
17,1470
18,679
19,440
20,365
21,1211
22,735
23,510
24,1620
25,1566
26,2279
27,2515
28,570
29,357
30,651
31,1197
32,699
33,577
34,670
35,659
36,799
37,416
38,498
39,890
40,720
41,321
42,735
43,472
44,815
45,1110
46,326
47,1022
48,522
49,343
50,999
51,1415
52,645
53,375
54,785
55,598
56,382
57,248
58,460
59,351
60,341
61,660
62,1350
63,676
64,499
65,689
66,919
67,569
68,422
69,344
70,1493
71,877
72,741
73,2637
74,1167
75,4685
76,2732
77,4328
78,2429
79,1021
80,631
81,981
82,1043
83,445
84,543
85,1004
86,1090
87,526
88,819
89,430
90,756
91,545
92,631
93,1848
94,485
95,2270
96,351
97,193
98,1214
99,303
100,255
101,271
102,420
103,381
104,910
105,361
106,294
107,632
108,861
109,266
110,390
111,991
112,485
113,1132
114,146
115,722
116,550
117,1220
118,779
119,1827
120,1750
121,1138
122,1085
123,778
124,1259
125,669
126,1353
127,1799
128,1027
129,752
130,1127
131,1437
132,1589
133,256
134,667
135,703
136,2249
137,2519
138,1478
139,980
140,319
