census_tract,hood_id,neighbourhood,dguid
5350119.00,96,Casa Loma,2016S05075350119.00
5350120.00,97,Yonge-St.Clair,2016S05075350120.00
5350121.00,97,Yonge-St.Clair,2016S05075350121.00
5350122.00,97,Yonge-St.Clair,2016S05075350122.00
5350123.00,97,Yonge-St.Clair,2016S05075350123.00
5350124.00,98,Rosedale-Moore Park,2016S05075350124.00
5350125.00,98,Rosedale-Moore Park,2016S05075350125.00
5350126.00,99,Mount Pleasant East,2016S05075350126.00
5350127.00,99,Mount Pleasant East,2016S05075350127.00
5350128.02,104,Mount Pleasant West,2016S05075350128.02
5350128.04,104,Mount Pleasant West,2016S05075350128.04
5350129.00,100,Yonge-Eglinton,2016S05075350129.00
5350130.00,101,Forest Hill South,2016S05075350130.00
5350131.00,101,Forest Hill South,2016S05075350131.00
5350132.00,102,Forest Hill North,2016S05075350132.00
5350133.00,102,Forest Hill North,2016S05075350133.00
5350134.00,103,Lawrence Park South,2016S05075350134.00
5350135.00,100,Yonge-Eglinton,2016S05075350135.00
5350136.01,104,Mount Pleasant West,2016S05075350136.01
5350136.02,104,Mount Pleasant West,2016S05075350136.02
5350137.00,99,Mount Pleasant East,2016S05075350137.00
5350138.00,103,Lawrence Park South,2016S05075350138.00
5350140.00,103,Lawrence Park South,2016S05075350140.00
5350141.01,105,Lawrence Park North,2016S05075350141.01
5350141.02,105,Lawrence Park North,2016S05075350141.02
5350142.00,105,Lawrence Park North,2016S05075350142.00
5350150.00,114,Lambton Baby Point,2016S05075350150.00
5350151.00,114,Lambton Baby Point,2016S05075350151.00
5350152.00,89,Runnymede-Bloor West Village,2016S05075350152.00
5350153.00,111,Rockcliffe-Smythe,2016S05075350153.00
5350154.00,111,Rockcliffe-Smythe,2016S05075350154.00
5350155.00,111,Rockcliffe-Smythe,2016S05075350155.00
5350156.01,111,Rockcliffe-Smythe,2016S05075350156.01
5350156.02,111,Rockcliffe-Smythe,2016S05075350156.02
5350157.00,115,Mount Dennis,2016S05075350157.00
5350158.00,110,Keelesdale-Eglinton West,2016S05075350158.00
5350159.01,110,Keelesdale-Eglinton West,2016S05075350159.01
5350159.02,110,Keelesdale-Eglinton West,2016S05075350159.02
5350160.00,109,Caledonia-Fairbank,2016S05075350160.00
5350161.00,109,Caledonia-Fairbank,2016S05075350161.00
5350162.00,107,Oakwood-Vaughan,2016S05075350162.00
5350163.00,107,Oakwood-Vaughan,2016S05075350163.00
5350164.00,107,Oakwood-Vaughan,2016S05075350164.00
5350165.00,106,Humewood-Cedarvale,2016S05075350165.00
5350166.00,106,Humewood-Cedarvale,2016S05075350166.00
5350167.01,101,Forest Hill South,2016S05075350167.01
5350167.02,106,Humewood-Cedarvale,2016S05075350167.02
5350168.00,107,Oakwood-Vaughan,2016S05075350168.00
5350169.01,108,Briar Hill - Belgravia,2016S05075350169.01
5350169.02,108,Briar Hill - Belgravia,2016S05075350169.02
5350170.00,108,Briar Hill - Belgravia,2016S05075350170.00
5350171.00,112,Beechborough-Greenbrook,2016S05075350171.00
5350172.00,112,Beechborough-Greenbrook,2016S05075350172.00
5350173.00,115,Mount Dennis,2016S05075350173.00
5350174.00,115,Mount Dennis,2016S05075350174.00
5350175.01,113,Weston,2016S05075350175.01
5350175.02,113,Weston,2016S05075350175.02
5350176.00,113,Weston,2016S05075350176.00
5350180.00,61,Crescent Town,2016S05075350180.00
5350181.01,60,Woodbine-Lumsden,2016S05075350181.01
5350181.02,60,Woodbine-Lumsden,2016S05075350181.02
5350182.00,59,Danforth Village - East York,2016S05075350182.00
5350184.01,59,Danforth Village - East York,2016S05075350184.01
5350184.02,58,Old East York,2016S05075350184.02
5350185.01,57,Broadview North,2016S05075350185.01
5350185.02,57,Broadview North,2016S05075350185.02
5350186.00,56,Leaside-Bennington,2016S05075350186.00
5350187.00,58,Old East York,2016S05075350187.00
5350188.00,58,Old East York,2016S05075350188.00
5350189.00,54,O'Connor-Parkview,2016S05075350189.00
5350190.01,61,Crescent Town,2016S05075350190.01
5350190.02,54,O'Connor-Parkview,2016S05075350190.02
5350191.00,54,O'Connor-Parkview,2016S05075350191.00
5350192.00,54,O'Connor-Parkview,2016S05075350192.00
5350193.00,54,O'Connor-Parkview,2016S05075350193.00
5350194.01,55,Thorncliffe Park,2016S05075350194.01
5350194.02,55,Thorncliffe Park,2016S05075350194.02
5350194.03,55,Thorncliffe Park,2016S05075350194.03
5350194.04,55,Thorncliffe Park,2016S05075350194.04
5350201.00,17,Mimico,2016S05075350201.00
5350202.00,17,Mimico,2016S05075350202.00
5350203.00,17,Mimico,2016S05075350203.00
5350204.00,18,New Toronto,2016S05075350204.00
5350205.00,18,New Toronto,2016S05075350205.00
5350206.01,19,Long Branch,2016S05075350206.01
5350206.02,19,Long Branch,2016S05075350206.02
5350207.00,18,New Toronto,2016S05075350207.00
5350208.00,18,New Toronto,2016S05075350208.00
5350209.00,17,Mimico,2016S05075350209.00
5350211.00,20,Alderwood,2016S05075350211.00
5350212.00,20,Alderwood,2016S05075350212.00
5350214.00,14,Islington-City Centre West,2016S05075350214.00
5350215.00,16,Stonegate-Queensway,2016S05075350215.00
5350216.00,16,Stonegate-Queensway,2016S05075350216.00
5350217.00,16,Stonegate-Queensway,2016S05075350217.00
5350218.00,16,Stonegate-Queensway,2016S05075350218.00
5350219.00,16,Stonegate-Queensway,2016S05075350219.00
5350220.00,12,Markland Wood,2016S05075350220.00
5350221.01,12,Markland Wood,2016S05075350221.01
5350221.02,13,Etobicoke West Mall,2016S05075350221.02
5350222.01,14,Islington-City Centre West,2016S05075350222.01
5350222.02,14,Islington-City Centre West,2016S05075350222.02
5350224.00,10,Princess-Rosethorn,2016S05075350224.00
5350225.01,14,Islington-City Centre West,2016S05075350225.01
5350225.02,14,Islington-City Centre West,2016S05075350225.02
5350226.00,15,Kingsway South,2016S05075350226.00
5350227.00,15,Kingsway South,2016S05075350227.00
5350228.00,15,Kingsway South,2016S05075350228.00
5350229.00,15,Kingsway South,2016S05075350229.00
5350230.01,9,Edenbridge-Humber Valley,2016S05075350230.01
5350230.02,9,Edenbridge-Humber Valley,2016S05075350230.02
5350231.00,9,Edenbridge-Humber Valley,2016S05075350231.00
5350232.00,10,Princess-Rosethorn,2016S05075350232.00
5350233.00,10,Princess-Rosethorn,2016S05075350233.00
5350234.00,11,Eringate-Centennial-West Deane,2016S05075350234.00
5350235.01,11,Eringate-Centennial-West Deane,2016S05075350235.01
5350235.02,11,Eringate-Centennial-West Deane,2016S05075350235.02
5350236.01,13,Etobicoke West Mall,2016S05075350236.01
5350236.02,11,Eringate-Centennial-West Deane,2016S05075350236.02
5350237.01,7,Willowridge-Martingrove-Richview,2016S05075350237.01
5350237.02,7,Willowridge-Martingrove-Richview,2016S05075350237.02
