Division,FID,Hood_ID,Index_,Lat,Long,MCI,Neighbourhood,event_unique_id,occurrencedate,occurrenceday,occurrencedayofweek,occurrencedayofyear,occurrencehour,occurrencemonth,occurrenceyear,offence,premisetype,reporteddate,reportedday,reporteddayofweek,reporteddayofyear,reportedhour,reportedmonth,reportedyear,ucr_code,ucr_ext
D13,128,102,21,43.6985168,-79.4371872,Assault,Forest Hill North (102),GO-20162023262,1.0255E+12,1,Monday    ,182,12,July,2002,Assault,Apartment,1.4791E+12,14,Monday    ,319,12,November,2016,1430,100
D53,129,56,22,43.7073975,-79.3675842,Assault,Leaside-Bennington (56),GO-20141508032,1.08528E+12,23,Sunday    ,144,12,May,2004,Assault,House,1.39166E+12,6,Thursday  ,37,9,February,2014,1430,100
D42,130,129,23,43.7984505,-79.2830353,Assault,Agincourt North (129),GO-2015425160,1.0966E+12,1,Friday    ,275,0,October,2004,Assault,House,1.42622E+12,13,Friday    ,72,1,March,2015,1430,100
D43,131,131,24,43.778862,-79.1356735,Assault,Rouge (131),GO-20141514632,9.3875E+11,,,,12,,,Assault With Weapon,House,1.39218E+12,12,Wednesday ,43,8,February,2014,1420,100
D43,132,131,25,43.778862,-79.1356735,Assault,Rouge (131),GO-20141514632,9.3875E+11,,,,12,,,Aggravated Assault,House,1.39218E+12,12,Wednesday ,43,8,February,2014,1410,100
D31,133,25,26,43.7522507,-79.5129395,Assault,Glenfield-Jane Heights (25),GO-2016443724,1.13609E+12,1,Sunday    ,1,0,January,2006,Assault,Apartment,1.45681E+12,1,Tuesday   ,61,14,March,2016,1430,100
D31,134,27,27,43.7657166,-79.4916611,Assault,York University Heights (27),GO-20171024404,1.13609E+12,1,Sunday    ,1,0,January,2006,Assault With Weapon,Apartment,1.49698E+12,9,Friday    ,160,13,June,2017,1420,100
D22,135,16,28,43.6395645,-79.488121,Assault,Stonegate-Queensway (16),GO-20171045328,1.13609E+12,1,Sunday    ,1,12,January,2006,Assault,Apartment,1.49724E+12,12,Monday    ,163,15,June,2017,1430,100
D53,136,100,29,43.7061043,-79.4014511,Assault,Yonge-Eglinton (100),GO-2015852474,1.13609E+12,1,Sunday    ,1,12,January,2006,Assault,House,1.43088E+12,6,Wednesday ,126,11,May,2015,1430,100
D53,137,100,30,43.7061043,-79.4014511,Assault,Yonge-Eglinton (100),GO-2015852474,1.13609E+12,1,Sunday    ,1,12,January,2006,Assault,House,1.43088E+12,6,Wednesday ,126,11,May,2015,1430,100
D31,138,23,31,43.7200012,-79.532608,Assault,Pelmo Park-Humberlea (23),GO-20143243077,9.46703E+11,1,Saturday  ,1,0,January,2000,Assault,House,1.41257E+12,6,Monday    ,279,8,October,2014,1430,100
D11,139,84,32,43.6485901,-79.4332123,Assault,Little Portugal (84),GO-2015127055,9.70373E+11,1,Sunday    ,275,0,October,2000,Assault,Apartment,1.4219E+12,22,Thursday  ,22,12,January,2015,1430,100
D11,140,84,33,43.6485901,-79.4332123,Assault,Little Portugal (84),GO-2015127055,9.70373E+11,1,Sunday    ,275,0,October,2000,Assault With Weapon,Apartment,1.4219E+12,22,Thursday  ,22,12,January,2015,1420,100
D55,141,62,34,43.6846733,-79.2967987,Break and Enter,East End-Danforth (62),GO-2017839246,1.0312E+12,5,Thursday  ,248,19,September,2002,B&E,Commercial,1.49456E+12,12,Friday    ,132,19,May,2017,2120,200
D54,142,44,35,43.7183647,-79.3314056,Assault,Flemingdon Park (44),GO-20161001331,1.06239E+12,1,Monday    ,244,0,September,2003,Assault,Apartment,1.46536E+12,8,Wednesday ,160,14,June,2016,1430,100
D43,143,137,36,43.7819901,-79.2482529,Assault,Woburn (137),GO-2015833919,1.11483E+12,30,Saturday  ,120,0,April,2005,Assault,Apartment,1.43201E+12,19,Tuesday   ,139,12,May,2015,1430,100
D43,144,137,37,43.7819901,-79.2482529,Assault,Woburn (137),GO-2015833919,1.11483E+12,30,Saturday  ,120,0,April,2005,Assault Bodily Harm,Apartment,1.43201E+12,19,Tuesday   ,139,12,May,2015,1420,110
D43,145,137,38,43.7819901,-79.2482529,Assault,Woburn (137),GO-2015833919,1.11483E+12,30,Saturday  ,120,0,April,2005,Assault With Weapon,Apartment,1.43201E+12,19,Tuesday   ,139,12,May,2015,1420,100
D23,146,1,39,43.7501869,-79.6002045,Assault,West Humber-Clairville (1),GO-2015241933,1.19674E+12,4,Tuesday   ,338,14,December,2007,Assault,House,1.42354E+12,10,Tuesday   ,41,14,February,2015,1430,100
D32,147,105,40,43.7303276,-79.4114456,Theft Over,Lawrence Park North (105),GO-20143366926,1.19916E+12,1,Tuesday   ,1,0,January,2008,Theft Over,House,1.41698E+12,26,Wednesday ,330,7,November,2014,2130,210
D41,148,126,41,43.7510948,-79.2671738,Assault,Dorset Park (126),GO-20141602627,1.13609E+12,1,Sunday    ,1,0,January,2006,Assault,Apartment,1.39339E+12,26,Wednesday ,57,15,February,2014,1430,100
D55,149,62,42,43.6764641,-79.30896,Assault,East End-Danforth (62),GO-2016196506,1.21229E+12,1,Sunday    ,153,15,June,2008,Assault,House,1.45439E+12,2,Tuesday   ,33,14,February,2016,1430,100
D42,150,128,43,43.787941,-79.2547531,Assault,Agincourt South-Malvern West (128),GO-20171445833,1.21229E+12,1,Sunday    ,153,0,June,2008,Assault,House,1.50242E+12,11,Friday    ,223,9,August,2017,1430,100
D42,151,128,44,43.787941,-79.2547531,Assault,Agincourt South-Malvern West (128),GO-20171445833,1.21229E+12,1,Sunday    ,153,0,June,2008,Assault With Weapon,House,1.50242E+12,11,Friday    ,223,9,August,2017,1420,100
D42,152,128,45,43.7821426,-79.2649612,Assault,Agincourt South-Malvern West (128),GO-20142667120,1.21229E+12,1,Sunday    ,153,0,June,2008,Assault,House,1.40756E+12,9,Saturday  ,221,14,August,2014,1430,100
D43,153,123,46,43.7208786,-79.2414474,Assault,Cliffcrest (123),GO-20142840249,1.21272E+12,6,Friday    ,158,12,June,2008,Assault With Weapon,House,1.4098E+12,4,Thursday  ,247,10,September,2014,1420,100
D43,154,123,47,43.7208786,-79.2414474,Assault,Cliffcrest (123),GO-20142840249,1.21272E+12,6,Friday    ,158,12,June,2008,Pointing A Firearm,House,1.4098E+12,4,Thursday  ,247,10,September,2014,1457,100
D32,155,26,48,43.7323837,-79.4632263,Assault,Downsview-Roding-CFB (26),GO-201531768,1.22551E+12,1,Saturday  ,306,0,November,2008,Assault,House,1.42052E+12,6,Tuesday   ,6,17,January,2015,1430,100
D32,156,26,49,43.7323837,-79.4632263,Assault,Downsview-Roding-CFB (26),GO-201531768,1.22551E+12,1,Saturday  ,306,0,November,2008,Assault With Weapon,House,1.42052E+12,6,Tuesday   ,6,17,January,2015,1420,100
D43,157,138,50,43.7416115,-79.2397308,Assault,Eglinton East (138),GO-20161317826,1.26232E+12,1,Friday    ,1,13,January,2010,Assault,House,1.46959E+12,27,Wednesday ,209,13,July,2016,1430,100
D23,158,1,51,43.7565536,-79.6047668,Assault,West Humber-Clairville (1),GO-20151938065,1.26232E+12,1,Friday    ,1,13,January,2010,Assault,House,1.44722E+12,11,Wednesday ,315,13,November,2015,1430,100
D23,159,1,52,43.7565536,-79.6047668,Assault,West Humber-Clairville (1),GO-20151938065,1.26232E+12,1,Friday    ,1,13,January,2010,Assault With Weapon,House,1.44722E+12,11,Wednesday ,315,13,November,2015,1420,100
D43,160,127,53,43.7495461,-79.2444687,Assault,Bendale (127),GO-2017491913,1.26232E+12,1,Friday    ,1,18,January,2010,Assault,House,1.4899E+12,19,Sunday    ,78,15,March,2017,1430,100
D11    ,161,87,54,43.6378632,-79.4718704,Assault,High Park-Swansea (87),GO-20161501652,1.19649E+12,1,Saturday  ,335,15,December,2007,Assault,Apartment,1.47201E+12,24,Wednesday ,237,18,August,2016,1430,100
D41,162,120,55,43.7153282,-79.2974167,Assault,Clairlea-Birchmount (120),GO-2015883646,1.21186E+12,27,Tuesday   ,148,0,May,2008,Assault With Weapon,Apartment,1.4327E+12,27,Wednesday ,147,11,May,2015,1420,100
D32,163,35,56,43.7908134,-79.4530334,Assault,Westminster-Branson (35),GO-20141551486,1.23951E+12,12,Sunday    ,102,19,April,2009,Assault,Apartment,1.3927E+12,18,Tuesday   ,49,14,February,2014,1430,100
D22,164,16,57,43.6401672,-79.5104675,Assault,Stonegate-Queensway (16),GO-20143301759,1.24314E+12,24,Sunday    ,144,16,May,2009,Assault,House,1.41594E+12,14,Friday    ,318,18,November,2014,1430,100
D53,165,104,206,43.6973763,-79.3964691,Assault,Mount Pleasant West (104),GO-20141533375,1.29386E+12,1,Saturday  ,1,0,January,2011,Assault,Apartment,1.39244E+12,15,Saturday  ,46,7,February,2014,1430,100
D33,166,45,703,43.7522316,-79.3318024,Assault,Parkwoods-Donalda (45),GO-20141410304,1.39063E+12,25,Saturday  ,25,20,January,2014,Assault,Commercial,1.39063E+12,25,Saturday  ,25,20,January,2014,1430,100
D32,167,36,58,43.7883186,-79.4226074,Assault,Newtonbrook West (36),GO-20173086465,1.25238E+12,8,Tuesday   ,251,9,September,2009,Assault,Other,1.51185E+12,28,Tuesday   ,332,10,November,2017,1430,100
D23,168,1,59,43.7013435,-79.6089554,Theft Over,West Humber-Clairville (1),GO-2016756680,1.26561E+12,8,Monday    ,39,0,February,2010,Theft Over,Other,1.46225E+12,3,Tuesday   ,124,12,May,2016,2130,210
D54,169,60,60,43.6939278,-79.3103714,Assault,Woodbine-Lumsden (60),GO-20141910434,1.26742E+12,1,Monday    ,60,0,March,2010,Assault,House,1.39771E+12,17,Thursday  ,107,17,April,2014,1430,100
D14,170,84,61,43.651516,-79.42659,Assault,Little Portugal (84),GO-20141812649,1.23079E+12,1,Thursday  ,1,8,January,2009,Assault,House,1.39641E+12,2,Wednesday ,92,8,April,2014,1430,100
D23    ,171,1,62,43.7210159,-79.573967,Theft Over,West Humber-Clairville (1),GO-20141904559,1.23079E+12,1,Thursday  ,1,0,January,2009,Theft Over,Commercial,1.39762E+12,16,Wednesday ,106,19,April,2014,2130,210
D53,172,55,63,43.7032127,-79.3466263,Break and Enter,Thorncliffe Park (55),GO-20141818571,1.23079E+12,1,Thursday  ,1,8,January,2009,Unlawfully In Dwelling-House,Commercial,1.3965E+12,3,Thursday  ,93,8,April,2014,2120,210
D53,173,55,64,43.7032127,-79.3466263,Theft Over,Thorncliffe Park (55),GO-20141818571,1.23079E+12,1,Thursday  ,1,8,January,2009,Theft Over,Commercial,1.3965E+12,3,Thursday  ,93,8,April,2014,2130,210
D53,174,104,65,43.6961288,-79.3962021,Assault,Mount Pleasant West (104),GO-20143404399,1.23079E+12,1,Thursday  ,1,0,January,2009,Assault Bodily Harm,Apartment,1.41741E+12,1,Monday    ,335,14,December,2014,1420,110
D53,175,104,66,43.6961288,-79.3962021,Assault,Mount Pleasant West (104),GO-20143404399,1.23079E+12,1,Thursday  ,1,0,January,2009,Aggravated Assault,Apartment,1.41741E+12,1,Monday    ,335,14,December,2014,1410,100
D53,176,104,67,43.6961288,-79.3962021,Assault,Mount Pleasant West (104),GO-20143404399,1.23079E+12,1,Thursday  ,1,0,January,2009,Aggravated Assault,Apartment,1.41741E+12,1,Monday    ,335,14,December,2014,1410,100
D23,177,3,68,43.739727,-79.5803986,Assault,Thistletown-Beaumond Heights (3),GO-20142185782,1.23079E+12,1,Thursday  ,1,0,January,2009,Assault,Other,1.40134E+12,29,Thursday  ,149,14,May,2014,1430,100
D53,178,98,69,43.6888657,-79.3767014,Theft Over,Rosedale-Moore Park (98),GO-20142207735,1.07293E+12,1,Thursday  ,1,0,January,2004,Theft Over,House,1.40168E+12,2,Monday    ,153,21,June,2014,2130,210
