Division,FID,Hood_ID,Index_,Lat,Long,MCI,Neighbourhood,event_unique_id,occurrencedate,occurrenceday,occurrencedayofweek,occurrencedayofyear,occurrencehour,occurrencemonth,occurrenceyear,offence,premisetype,reporteddate,reportedday,reporteddayofweek,reporteddayofyear,reportedhour,reportedmonth,reportedyear,ucr_code,ucr_ext
D41,231,119,122,43.7599106,-79.3064346,Assault,Wexford/Maryvale (119),GO-2016502427,1.26232E+12,1,Friday    ,1,8,January,2010,Assault,House,1.45879E+12,24,Thursday  ,84,8,March,2016,1430,100
D32,232,50,123,43.7954788,-79.4194183,Theft Over,Newtonbrook East (50),GO-20143315660,1.26975E+12,28,Sunday    ,87,7,March,2010,Theft Over,Commercial,1.4162E+12,17,Monday    ,321,7,November,2014,2130,210
D53,233,56,124,43.7130814,-79.3672256,Theft Over,Leaside-Bennington (56),GO-20143055476,1.27968E+12,21,Wednesday ,202,0,July,2010,Theft Over,Commercial,1.41257E+12,6,Monday    ,279,19,October,2014,2130,210
D42,234,117,125,43.8015518,-79.2995453,Assault,L'Amoreaux (117),GO-20143343036,1.28236E+12,21,Saturday  ,233,0,August,2010,Assault,Apartment,1.41655E+12,21,Friday    ,325,16,November,2014,1430,100
D32,235,40,126,43.759922,-79.3892441,Break and Enter,St.Andrew-Windfields (40),GO-20142794426,1.28297E+12,28,Saturday  ,240,15,August,2010,B&E,Apartment,1.4092E+12,28,Thursday  ,240,15,August,2014,2120,200
D42,236,117,127,43.7777443,-79.324173,Assault,L'Amoreaux (117),GO-20141481568,1.29576E+12,23,Sunday    ,23,19,January,2011,Assault,Apartment,1.39166E+12,6,Thursday  ,37,22,February,2014,1430,100
D22,237,9,128,43.6606216,-79.5176468,Theft Over,Edenbridge-Humber Valley (9),GO-2016552378,1.30742E+12,7,Tuesday   ,158,0,June,2011,Theft Over,Commercial,1.45948E+12,1,Friday    ,92,13,April,2016,2130,210
D55,238,70,129,43.6648445,-79.3416061,Theft Over,South Riverdale (70),GO-20141827857,1.30854E+12,20,Monday    ,171,20,June,2011,Theft Over,Commercial,1.39658E+12,4,Friday    ,94,16,April,2014,2130,210
D31,239,26,130,43.7205238,-79.498436,Assault,Downsview-Roding-CFB (26),GO-2015534689,1.31217E+12,1,Monday    ,213,0,August,2011,Assault,House,1.42777E+12,31,Tuesday   ,90,13,March,2015,1430,100
D43,240,127,131,43.7736168,-79.2611313,Assault,Bendale (127),GO-20143010101,1.31217E+12,1,Monday    ,213,19,August,2011,Assault,Outside,1.41196E+12,29,Monday    ,272,19,September,2014,1430,100
D11,241,114,132,43.6638908,-79.5034866,Assault,Lambton Baby Point (114),GO-20151713207,1.31571E+12,11,Sunday    ,254,0,September,2011,Assault,Apartment,1.44393E+12,4,Sunday    ,277,14,October,2015,1430,100
D14,242,79,133,43.662262,-79.4060364,Theft Over,University (79),GO-20143472728,1.3279E+12,30,Monday    ,30,12,January,2012,Theft Over,House,1.41836E+12,12,Friday    ,346,16,December,2014,2130,210
D41,243,125,134,43.7421875,-79.2720642,Assault,Ionview (125),GO-20141870402,1.3323E+12,21,Wednesday ,81,13,March,2012,Assault - Resist/ Prevent Seiz,Outside,1.39719E+12,11,Friday    ,101,13,April,2014,1480,100
D51,244,98,135,43.6723595,-79.3768539,Assault,Rosedale-Moore Park (98),GO-20152086806,1.33619E+12,5,Saturday  ,126,20,May,2012,Assault With Weapon,Other,1.44929E+12,5,Saturday  ,339,20,December,2015,1420,100
D22,245,16,136,43.6217308,-79.5086594,Assault,Stonegate-Queensway (16),GO-20141600022,1.34561E+12,22,Wednesday ,235,8,August,2012,Aggravated Assault,House,1.3933E+12,25,Tuesday   ,56,8,February,2014,1410,100
D53,246,98,137,43.6708069,-79.3842087,Assault,Rosedale-Moore Park (98),GO-20151520541,1.34639E+12,31,Friday    ,244,0,August,2012,Assault,Apartment,1.44125E+12,3,Thursday  ,246,13,September,2015,1430,100
D53,247,98,138,43.6708069,-79.3842087,Assault,Rosedale-Moore Park (98),GO-20151520541,1.34639E+12,31,Friday    ,244,0,August,2012,Assault Bodily Harm,Apartment,1.44125E+12,3,Thursday  ,246,13,September,2015,1420,110
D55,248,70,139,43.6602783,-79.3480911,Assault,South Riverdale (70),GO-20143330577,1.20435E+12,1,Saturday  ,61,0,March,2008,Assault,Other,1.41637E+12,19,Wednesday ,323,17,November,2014,1430,100
D12,249,112,140,43.6934128,-79.4832687,Assault,Beechborough-Greenbrook (112),GO-20142793436,1.26293E+12,8,Friday    ,8,12,January,2010,Assault,Apartment,1.4092E+12,28,Thursday  ,240,13,August,2014,1430,100
D31,250,27,141,43.7486076,-79.493248,Assault,York University Heights (27),GO-20161273754,1.28064E+12,1,Sunday    ,213,12,August,2010,Assault,House,1.46899E+12,20,Wednesday ,202,13,July,2016,1430,100
D42,251,128,142,43.7781525,-79.2814713,Assault,Agincourt South-Malvern West (128),GO-20162307104,1.28064E+12,1,Sunday    ,213,0,August,2010,Assault,Apartment,1.48299E+12,29,Thursday  ,364,20,December,2016,1430,100
D13,252,93,143,43.6704483,-79.439888,Assault,Dovercourt-Wallace Emerson-Junction (93),GO-20173207158,1.28064E+12,1,Sunday    ,213,17,August,2010,Assault,Apartment,1.50216E+12,8,Tuesday   ,220,10,August,2017,1430,100
D51,253,73,144,43.6582947,-79.3710327,Assault,Moss Park (73),GO-20141711554,1.28331E+12,1,Wednesday ,244,0,September,2010,Assault,Apartment,1.39494E+12,16,Sunday    ,75,13,March,2014,1430,100
D31,254,25,145,43.7471313,-79.5087585,Assault,Glenfield-Jane Heights (25),GO-20143052560,1.28331E+12,1,Wednesday ,244,8,September,2010,Assault With Weapon,Apartment,1.41257E+12,6,Monday    ,279,10,October,2014,1420,100
D31,255,25,146,43.7471313,-79.5087585,Assault,Glenfield-Jane Heights (25),GO-20143052560,1.28331E+12,1,Wednesday ,244,8,September,2010,Assault,Apartment,1.41257E+12,6,Monday    ,279,10,October,2014,1430,100
D51,256,71,207,43.6645203,-79.3708878,Assault,Cabbagetown-South St.James Town (71),GO-20142902768,1.29386E+12,1,Saturday  ,1,15,January,2011,Assault Bodily Harm,Apartment,1.41058E+12,13,Saturday  ,256,15,September,2014,1420,110
D22,257,14,147,43.6430397,-79.5308151,Assault,Islington-City Centre West (14),GO-2015636294,-1.12478E+11,,,,0,,,Assault,Apartment,1.42924E+12,17,Friday    ,107,15,April,2015,1430,100
D42,258,118,148,43.7821198,-79.2934647,Robbery,Tam O'Shanter-Sullivan (118),GO-2015198520,3.25397E+11,,,,13,,,Robbery - Armoured Car,Commercial,1.42294E+12,3,Tuesday   ,34,12,February,2015,1610,120
D55,259,70,149,43.6605301,-79.3425064,Assault,South Riverdale (70),GO-2015987474,18000000,,,,9,,,Assault With Weapon,House,1.43408E+12,12,Friday    ,163,17,June,2015,1420,100
D55,260,70,150,43.6605301,-79.3425064,Assault,South Riverdale (70),GO-2015987474,18000000,,,,9,,,Assault,House,1.43408E+12,12,Friday    ,163,17,June,2015,1430,100
D43,261,139,151,43.7446175,-79.221283,Assault,Scarborough Village (139),GO-201531698,1.16763E+12,1,Monday    ,1,12,January,2007,Assault,House,1.42052E+12,6,Tuesday   ,6,17,January,2015,1430,100
D43,262,139,152,43.7446175,-79.221283,Assault,Scarborough Village (139),GO-201531698,1.16763E+12,1,Monday    ,1,12,January,2007,Assault With Weapon,House,1.42052E+12,6,Tuesday   ,6,17,January,2015,1420,100
D43,263,139,153,43.7446175,-79.221283,Assault,Scarborough Village (139),GO-201531698,1.16763E+12,1,Monday    ,1,12,January,2007,Assault With Weapon,House,1.42052E+12,6,Tuesday   ,6,17,January,2015,1420,100
D51,264,75,154,43.6535034,-79.3742905,Assault,Church-Yonge Corridor (75),GO-2015531870,1.16763E+12,1,Monday    ,1,1,January,2007,Assault,Apartment,1.42777E+12,31,Tuesday   ,90,1,March,2015,1430,100
D32    ,265,33,155,43.7309265,-79.4586411,Theft Over,Clanton Park (33),GO-2016636931,1.16763E+12,1,Monday    ,1,0,January,2007,Theft Over,Apartment,1.46061E+12,14,Thursday  ,105,22,April,2016,2130,210
D32,266,51,156,43.7565041,-79.4065704,Assault,Willowdale East (51),GO-20142972357,1.23674E+12,11,Wednesday ,70,8,March,2009,Assault,Apartment,1.41153E+12,24,Wednesday ,267,9,September,2014,1430,100
D13,267,108,157,43.6944847,-79.4648438,Assault,Briar Hill-Belgravia (108),GO-20151459029,1.25705E+12,1,Sunday    ,305,0,November,2009,Assault With Weapon,House,1.44039E+12,24,Monday    ,236,18,August,2015,1420,100
D32,268,34,158,43.7556953,-79.4369888,Assault,Bathurst Manor (34),GO-20143419448,1.25705E+12,1,Sunday    ,305,0,November,2009,Assault,House,1.41758E+12,3,Wednesday ,337,21,December,2014,1430,100
D32,269,35,159,43.7895927,-79.4498749,Assault,Westminster-Branson (35),GO-2015415629,1.265E+12,1,Monday    ,32,0,February,2010,Assault,House,1.42605E+12,11,Wednesday ,70,13,March,2015,1430,100
D33,270,48,160,43.7964439,-79.3551941,Theft Over,Hillcrest Village (48),GO-20143249414,1.265E+12,1,Monday    ,32,0,February,2010,Theft Over,Apartment,1.41525E+12,6,Thursday  ,310,10,November,2014,2130,210
D54,271,44,161,43.7165565,-79.3373184,Assault,Flemingdon Park (44),GO-20141763324,1.27113E+12,13,Tuesday   ,103,23,April,2010,Assault Bodily Harm,Apartment,1.39563E+12,24,Monday    ,83,11,March,2014,1420,110
D54,272,43,162,43.7189102,-79.3044662,Theft Over,Victoria Village (43),GO-20141986952,1.29049E+12,23,Tuesday   ,327,0,November,2010,Theft - Misapprop Funds Over,Commercial,1.39883E+12,30,Wednesday ,120,11,April,2014,2130,220
D33,273,47,163,43.7796364,-79.3457336,Assault,Don Valley Village (47),GO-20161532176,1.28487E+12,19,Sunday    ,262,0,September,2010,Assault,Apartment,1.47244E+12,29,Monday    ,242,15,August,2016,1430,100
D23,274,6,164,43.697052,-79.54673,Assault,Kingsview Village-The Westway (6),GO-2017330453,1.29118E+12,1,Wednesday ,335,0,December,2010,Assault,Apartment,1.48774E+12,22,Wednesday ,53,10,February,2017,1430,100
D32,275,50,165,43.7909775,-79.4138489,Assault,Newtonbrook East (50),GO-2015114669,1.29386E+12,1,Saturday  ,1,0,January,2011,Assault,House,1.42173E+12,20,Tuesday   ,20,15,January,2015,1430,100
D32,276,51,166,43.7643013,-79.4116364,Assault,Willowdale East (51),GO-20141793025,1.29386E+12,1,Saturday  ,1,0,January,2011,Assault,Apartment,1.39607E+12,29,Saturday  ,88,23,March,2014,1430,100
D54,277,54,167,43.7059364,-79.297081,Assault,O'Connor-Parkview (54),GO-20142316336,1.29386E+12,1,Saturday  ,1,13,January,2011,Assault,Apartment,1.40306E+12,18,Wednesday ,169,14,June,2014,1430,100
D53,278,104,168,43.6993332,-79.3968582,Assault,Mount Pleasant West (104),GO-20143373411,1.29386E+12,1,Saturday  ,1,0,January,2011,Assault,Other,1.41698E+12,26,Wednesday ,330,13,November,2014,1430,100
D32,279,52,169,43.7665901,-79.3880539,Assault,Bayview Village (52),GO-20143509783,1.35555E+12,15,Saturday  ,350,15,December,2012,Assault,Commercial,1.41888E+12,18,Thursday  ,352,16,December,2014,1430,100
D53,280,103,704,43.7171288,-79.418251,Break and Enter,Lawrence Park South (103),GO-20141410500,1.39063E+12,25,Saturday  ,25,21,January,2014,B&E,House,1.39063E+12,25,Saturday  ,25,21,January,2014,2120,200
D12,281,30,170,43.702282,-79.5036392,Theft Over,Brookhaven-Amesbury (30),GO-201548016,1.35823E+12,15,Tuesday   ,15,12,January,2013,Theft Over,Commercial,1.42078E+12,9,Friday    ,9,11,January,2015,2130,210
D51,282,75,171,43.6526833,-79.3780899,Theft Over,Church-Yonge Corridor (75),GO-20151942708,1.359E+12,24,Thursday  ,24,0,January,2013,Theft Over,Commercial,1.4473E+12,12,Thursday  ,316,9,November,2015,2130,210
D33,283,47,172,43.7816887,-79.355278,Assault,Don Valley Village (47),GO-20141550610,1.3647E+12,31,Sunday    ,90,14,March,2013,Assault,Apartment,1.3927E+12,18,Tuesday   ,49,9,February,2014,1430,100
D54,284,61,173,43.6928329,-79.2971573,Assault,Taylor-Massey (61),GO-2017857490,1.36859E+12,15,Wednesday ,135,0,May,2013,Assault,Apartment,1.49482E+12,15,Monday    ,135,17,May,2017,1430,100
D41,285,127,174,43.752861,-79.258522,Assault,Bendale (127),GO-20142780051,1.37265E+12,1,Monday    ,182,0,July,2013,Assault,Apartment,1.40903E+12,26,Tuesday   ,238,14,August,2014,1430,100
D41,286,120,175,43.7104797,-79.2715836,Assault,Clairlea-Birchmount (120),GO-20141800052,1.37265E+12,1,Monday    ,182,12,July,2013,Assault With Weapon,Outside,1.39624E+12,31,Monday    ,90,10,March,2014,1420,100
D41,287,120,176,43.7104797,-79.2715836,Assault,Clairlea-Birchmount (120),GO-20141800052,1.37265E+12,1,Monday    ,182,12,July,2013,Assault,Outside,1.39624E+12,31,Monday    ,90,10,March,2014,1430,100
D31,288,25,177,43.7507477,-79.5172653,Assault,Glenfield-Jane Heights (25),GO-20141722117,1.37265E+12,1,Monday    ,182,12,July,2013,Assault,Apartment,1.39512E+12,18,Tuesday   ,77,13,March,2014,1430,100
D42,289,128,178,43.7930183,-79.2830658,Assault,Agincourt South-Malvern West (128),GO-20142033602,1.37265E+12,1,Monday    ,182,0,July,2013,Assault,Apartment,1.39944E+12,7,Wednesday ,127,17,May,2014,1430,100
D31,290,27,179,43.7556419,-79.4913712,Assault,York University Heights (27),GO-20142736601,1.37265E+12,1,Monday    ,182,3,July,2013,Assault,House,1.40851E+12,20,Wednesday ,232,3,August,2014,1430,100
D54,291,54,180,43.7083473,-79.3106537,Assault,O'Connor-Parkview (54),GO-20143468375,1.37265E+12,1,Monday    ,182,21,July,2013,Assault,Apartment,1.41827E+12,11,Thursday  ,345,22,December,2014,1430,100
D51,292,74,181,43.6676369,-79.3722076,Assault,North St.James Town (74),GO-20142926740,1.31485E+12,1,Thursday  ,244,0,September,2011,Assault,Apartment,1.41093E+12,17,Wednesday ,260,15,September,2014,1430,100
D14,293,82,182,43.6439934,-79.4107285,Assault,Niagara (82),GO-2017206831,1.31485E+12,1,Thursday  ,244,14,September,2011,Assault,House,1.48601E+12,2,Thursday  ,33,14,February,2017,1430,100
D42,294,117,183,43.7854424,-79.3218079,Assault,L'Amoreaux (117),GO-2015343968,1.31485E+12,1,Thursday  ,244,9,September,2011,Assault With Weapon,Other,1.42501E+12,27,Friday    ,58,16,February,2015,1420,100
D23,295,2,184,43.7584648,-79.5893555,Assault,Mount Olive-Silverstone-Jamestown (2),GO-2015760840,1.31485E+12,1,Thursday  ,244,16,September,2011,Assault With Weapon,Apartment,1.43097E+12,7,Thursday  ,127,17,May,2015,1420,100
D23,296,2,185,43.7584648,-79.5893555,Assault,Mount Olive-Silverstone-Jamestown (2),GO-2015760840,1.31485E+12,1,Thursday  ,244,16,September,2011,Assault,Apartment,1.43097E+12,7,Thursday  ,127,17,May,2015,1430,100
D43,297,136,186,43.7684097,-79.1862259,Break and Enter,West Hill (136),GO-20142958691,1.31666E+12,22,Thursday  ,265,7,September,2011,B&E,Apartment,1.41136E+12,22,Monday    ,265,9,September,2014,2120,200
D31,298,27,187,43.7652512,-79.5037689,Theft Over,York University Heights (27),GO-20151771889,1.32012E+12,1,Tuesday   ,305,0,November,2011,Theft Over,House,1.4448E+12,14,Wednesday ,287,15,October,2015,2130,210
D42,299,132,188,43.8103409,-79.2200241,Break and Enter,Malvern (132),GO-20141536165,1.29705E+12,7,Monday    ,38,0,February,2011,Unlawfully In Dwelling-House,Apartment,1.39244E+12,15,Saturday  ,46,16,February,2014,2120,210
D42,300,132,189,43.8103409,-79.2200241,Assault,Malvern (132),GO-20141536165,1.29705E+12,7,Monday    ,38,0,February,2011,Assault,Apartment,1.39244E+12,15,Saturday  ,46,16,February,2014,1430,100
D54,301,66,190,43.6833687,-79.3236389,Assault,Danforth (66),GO-20142352003,1.30802E+12,14,Tuesday   ,165,1,June,2011,Assault With Weapon,Apartment,1.40272E+12,14,Saturday  ,165,10,June,2014,1420,100
D54,302,66,191,43.6833687,-79.3236389,Assault,Danforth (66),GO-20142352003,1.30802E+12,14,Tuesday   ,165,1,June,2011,Assault With Weapon,Apartment,1.40272E+12,14,Saturday  ,165,10,June,2014,1420,100
D12,303,28,192,43.715744,-79.5047607,Assault,Rustic (28),GO-20143417502,1.31338E+12,15,Monday    ,227,7,August,2011,Assault,Apartment,1.41758E+12,3,Wednesday ,337,14,December,2014,1430,100
D12,304,28,193,43.715744,-79.5047607,Assault,Rustic (28),GO-20143417502,1.31338E+12,15,Monday    ,227,7,August,2011,Assault With Weapon,Apartment,1.41758E+12,3,Wednesday ,337,14,December,2014,1420,100
D14,305,86,194,43.6410294,-79.4345169,Assault,Roncesvalles (86),GO-2015428619,1.31744E+12,1,Saturday  ,274,0,October,2011,Assault,House,1.42622E+12,13,Friday    ,72,14,March,2015,1430,100
D14,306,86,195,43.6410294,-79.4345169,Assault,Roncesvalles (86),GO-2015428619,1.31744E+12,1,Saturday  ,274,0,October,2011,Assault Bodily Harm,House,1.42622E+12,13,Friday    ,72,14,March,2015,1420,110
D14,307,86,196,43.6410294,-79.4345169,Assault,Roncesvalles (86),GO-2015428619,1.31744E+12,1,Saturday  ,274,0,October,2011,Assault With Weapon,House,1.42622E+12,13,Friday    ,72,14,March,2015,1420,100
D51,308,74,197,43.6679115,-79.3709106,Assault,North St.James Town (74),GO-20142937721,1.31744E+12,1,Saturday  ,274,0,October,2011,Assault With Weapon,Apartment,1.41101E+12,18,Thursday  ,261,22,September,2014,1420,100
D51,309,74,198,43.6679115,-79.3709106,Assault,North St.James Town (74),GO-20142937721,1.31744E+12,1,Saturday  ,274,0,October,2011,Assault,Apartment,1.41101E+12,18,Thursday  ,261,22,September,2014,1430,100
D43,310,133,199,43.7752991,-79.1525726,Assault,Centennial Scarborough (133),GO-20142204818,1.31744E+12,1,Saturday  ,274,1,October,2011,Assault,House,1.40082E+12,23,Friday    ,143,12,May,2014,1430,100
D52,311,79,200,43.6610107,-79.3949203,Assault,University (79),GO-2015293818,1.32228E+12,26,Saturday  ,330,21,November,2011,Assault,Other,1.42432E+12,19,Thursday  ,50,11,February,2015,1430,100
D43,312,138,301,43.740593,-79.239296,Assault,Eglinton East (138),GO-20141656837,1.35702E+12,1,Tuesday   ,1,12,January,2013,Assault,Apartment,1.39417E+12,7,Friday    ,66,12,March,2014,1430,100
D51,313,71,208,43.6645203,-79.3708878,Assault,Cabbagetown-South St.James Town (71),GO-20142902768,1.29386E+12,1,Saturday  ,1,15,January,2011,Assault,Apartment,1.41058E+12,13,Saturday  ,256,15,September,2014,1430,100
D31,314,24,209,43.7559319,-79.5242844,Assault,Black Creek (24),GO-20141822259,1.29386E+12,1,Saturday  ,1,0,January,2011,Assault,Apartment,1.3965E+12,3,Thursday  ,93,17,April,2014,1430,100
D31,315,27,210,43.7708931,-79.4983139,Assault,York University Heights (27),GO-2015234795,1.29386E+12,1,Saturday  ,1,0,January,2011,Assault,Other,1.42346E+12,9,Monday    ,40,16,February,2015,1430,100
D12,316,111,211,43.6768417,-79.5060349,Theft Over,Rockcliffe-Smythe (111),GO-2015590706,1.29386E+12,1,Saturday  ,1,0,January,2011,Theft Over,Apartment,1.42864E+12,10,Friday    ,100,10,April,2015,2130,210
D51,317,74,212,43.6672974,-79.3737793,Assault,North St.James Town (74),GO-20161621000,1.29386E+12,1,Saturday  ,1,8,January,2011,Assault,Apartment,1.47365E+12,12,Monday    ,256,12,September,2016,1430,100
D13,318,101,302,43.6865616,-79.4131851,Theft Over,Forest Hill South (101),GO-2015258841,1.35702E+12,1,Tuesday   ,1,9,January,2013,Theft Over,Apartment,1.4238E+12,13,Friday    ,44,10,February,2015,2130,210
D53,319,103,705,43.7149734,-79.4174118,Break and Enter,Lawrence Park South (103),GO-20141410257,1.39063E+12,25,Saturday  ,25,15,January,2014,B&E,House,1.39063E+12,25,Saturday  ,25,20,January,2014,2120,200
D13,320,102,706,43.6998558,-79.4309082,Break and Enter,Forest Hill North (102),GO-20141461372,1.39063E+12,25,Saturday  ,25,15,January,2014,B&E,Apartment,1.3914E+12,3,Monday    ,34,12,February,2014,2120,200
D33,321,42,303,43.7518005,-79.3495636,Theft Over,Banbury-Don Mills (42),GO-20141401067,1.35702E+12,1,Tuesday   ,1,0,January,2013,Theft Over,Outside,1.39054E+12,24,Friday    ,24,9,January,2014,2130,210
D32,322,39,707,43.7289124,-79.4245834,Break and Enter,Bedford Park-Nortown (39),GO-20141473117,1.39063E+12,25,Saturday  ,25,14,January,2014,B&E,House,1.39158E+12,5,Wednesday ,36,10,February,2014,2120,200
D22,323,13,708,43.6523972,-79.5722122,Assault,Etobicoke West Mall (13),GO-20141411290,1.39071E+12,26,Sunday    ,26,0,January,2014,Assault Bodily Harm,Apartment,1.39071E+12,26,Sunday    ,26,3,January,2014,1420,110
D43,324,139,801,43.7451057,-79.2197266,Assault,Scarborough Village (139),GO-20141419186,1.3908E+12,27,Monday    ,27,13,January,2014,Assault With Weapon,Apartment,1.3908E+12,27,Monday    ,27,13,January,2014,1420,100
D43,325,136,304,43.7664986,-79.1948929,Assault,West Hill (136),GO-20161816639,1.35434E+12,1,Saturday  ,336,0,December,2012,Assault,Apartment,1.47624E+12,12,Wednesday ,286,20,October,2016,1430,100
D54,326,61,709,43.6902275,-79.2926865,Robbery,Taylor-Massey (61),GO-20141412367,1.39071E+12,26,Sunday    ,26,7,January,2014,Robbery With Weapon,Commercial,1.39071E+12,26,Sunday    ,26,7,January,2014,1610,100
D43,327,139,802,43.7451057,-79.2197266,Assault,Scarborough Village (139),GO-20141419186,1.3908E+12,27,Monday    ,27,13,January,2014,Aggravated Assault,Apartment,1.3908E+12,27,Monday    ,27,13,January,2014,1410,100
D41,328,125,305,43.7326775,-79.2660599,Break and Enter,Ionview (125),GO-20141396704,1.35702E+12,1,Tuesday   ,1,12,January,2013,B&E,Commercial,1.39045E+12,23,Thursday  ,23,14,January,2014,2120,200
D33,329,45,213,43.7519875,-79.3337021,Assault,Parkwoods-Donalda (45),GO-20151988669,1.18594E+12,1,Wednesday ,213,0,August,2007,Assault Bodily Harm,House,1.43166E+12,15,Friday    ,135,23,May,2015,1420,110
D31,330,27,214,43.7622452,-79.5005188,Assault,York University Heights (27),GO-2016491234,1.18594E+12,1,Wednesday ,213,5,August,2007,Assault,Apartment,1.45862E+12,22,Tuesday   ,82,11,March,2016,1430,100
D33,331,45,215,43.7519875,-79.3337021,Assault,Parkwoods-Donalda (45),GO-20151988669,1.18594E+12,1,Wednesday ,213,0,August,2007,Assault,House,1.43166E+12,15,Friday    ,135,23,May,2015,1430,100
D31,332,27,216,43.7622452,-79.5005188,Assault,York University Heights (27),GO-20161732098,1.18594E+12,1,Wednesday ,213,0,August,2007,Assault With Weapon,Apartment,1.47512E+12,29,Thursday  ,273,11,September,2016,1420,100
D22,333,14,217,43.6379967,-79.5475159,Assault,Islington-City Centre West (14),GO-20142078211,1.2548E+12,6,Tuesday   ,279,12,October,2009,Assault,House,1.40004E+12,14,Wednesday ,134,15,May,2014,1430,100
D23,334,1,218,43.7106895,-79.6113205,Assault,West Humber-Clairville (1),GO-2015379194,1.26612E+12,14,Sunday    ,45,12,February,2010,Assault,Apartment,1.42553E+12,5,Thursday  ,64,13,March,2015,1430,100
D43,335,137,219,43.7643204,-79.2164383,Assault,Woburn (137),GO-20141977470,1.27148E+12,17,Saturday  ,107,11,April,2010,Assault,Other,1.39866E+12,28,Monday    ,118,19,April,2014,1430,100
D32,336,32,220,43.7189865,-79.4450989,Assault,Englemount-Lawrence (32),GO-201691129,1.27856E+12,8,Thursday  ,189,0,July,2010,Assault,Apartment,1.45292E+12,16,Saturday  ,16,1,January,2016,1430,100
D31,337,22,221,43.7427292,-79.5403366,Assault,Humbermede (22),GO-20141563689,1.37265E+12,1,Monday    ,182,15,July,2013,Assault,Outside,1.39287E+12,20,Thursday  ,51,11,February,2014,1430,100
D54,338,58,222,43.6906204,-79.3426666,Assault,Old East York (58),GO-20142371430,1.37265E+12,1,Monday    ,182,0,July,2013,Assault Bodily Harm,Apartment,1.40376E+12,26,Thursday  ,177,11,June,2014,1420,110
D41,339,125,223,43.7396469,-79.276825,Assault,Ionview (125),GO-20143211736,1.37265E+12,1,Monday    ,182,0,July,2013,Assault,Apartment,1.41473E+12,31,Friday    ,304,16,October,2014,1430,100
D41,340,125,224,43.7396469,-79.276825,Assault,Ionview (125),GO-20143211736,1.37265E+12,1,Monday    ,182,0,July,2013,Assault With Weapon,Apartment,1.41473E+12,31,Friday    ,304,16,October,2014,1420,100
D31,341,24,225,43.7604637,-79.5097809,Assault,Black Creek (24),GO-20141536270,1.37265E+12,1,Monday    ,182,0,July,2013,Assault,Apartment,1.39244E+12,15,Saturday  ,46,16,February,2014,1430,100
D53,342,95,226,43.6696701,-79.3895035,Theft Over,Annex (95),GO-20142606042,1.37265E+12,1,Monday    ,182,0,July,2013,Theft Over,Commercial,1.40678E+12,31,Thursday  ,212,7,July,2014,2130,210
D32,343,40,227,43.759922,-79.3892441,Theft Over,St.Andrew-Windfields (40),GO-2016797197,9.15167E+11,,,,0,,,Theft Over,Apartment,1.46277E+12,9,Monday    ,130,16,May,2016,2130,210
D23,344,8,228,43.6841583,-79.5274124,Assault,Humber Heights-Westmount (8),GO-20151804633,8.20472E+11,,,,8,,,Assault,Apartment,1.44531E+12,20,Tuesday   ,293,10,October,2015,1430,100
D14,345,84,229,43.651516,-79.42659,Theft Over,Little Portugal (84),GO-2016203004,7.24914E+11,,,,0,,,Theft Over,Other,1.45448E+12,3,Wednesday ,34,14,February,2016,2130,210
D41,346,122,230,43.7086678,-79.2534103,Assault,Birchcliffe-Cliffside (122),GO-20141888277,1.32272E+12,1,Thursday  ,335,10,December,2011,Assault,House,1.39745E+12,14,Monday    ,104,10,April,2014,1430,100
D14,347,82,231,43.6352386,-79.3992004,Assault,Niagara (82),GO-20142469253,1.32807E+12,1,Wednesday ,32,0,February,2012,Assault Bodily Harm,House,1.40496E+12,10,Thursday  ,191,13,July,2014,1420,110
D14,348,82,232,43.6352386,-79.3992004,Assault,Niagara (82),GO-20142469253,1.32807E+12,1,Wednesday ,32,0,February,2012,Assault With Weapon,House,1.40496E+12,10,Thursday  ,191,13,July,2014,1420,100
D41,349,120,233,43.7000847,-79.2867279,Assault,Clairlea-Birchmount (120),GO-20141637937,1.33058E+12,1,Thursday  ,61,0,March,2012,Assault Bodily Harm,Apartment,1.38855E+12,1,Wednesday ,1,16,January,2014,1420,110
D54,350,54,234,43.7006645,-79.2996216,Assault,O'Connor-Parkview (54),GO-20142084064,1.33705E+12,15,Tuesday   ,136,12,May,2012,Assault,Apartment,1.40013E+12,15,Thursday  ,135,12,May,2014,1430,100
D55,351,64,235,43.6688919,-79.3176498,Assault,Woodbine Corridor (64),GO-20141370979,1.3374E+12,19,Saturday  ,140,23,May,2012,Assault Bodily Harm,Other,1.39011E+12,19,Sunday    ,19,2,January,2014,1420,110
D55,352,64,236,43.6688919,-79.3176498,Assault,Woodbine Corridor (64),GO-20141370979,1.3374E+12,19,Saturday  ,140,23,May,2012,Assault With Weapon,Other,1.39011E+12,19,Sunday    ,19,2,January,2014,1420,100
D33,353,41,237,43.7378197,-79.3755188,Theft Over,Bridle Path-Sunnybrook-York Mills (41),GO-20141742004,1.33852E+12,1,Friday    ,153,0,June,2012,Theft Over,House,1.39537E+12,21,Friday    ,80,14,March,2014,2130,210
D23,354,6,238,43.6929169,-79.5456772,Break and Enter,Kingsview Village-The Westway (6),GO-20141493630,1.33852E+12,1,Friday    ,153,14,June,2012,Unlawfully In Dwelling-House,House,1.39184E+12,8,Saturday  ,39,16,February,2014,2120,210
