" CT UID - Census Tract Unique Identifier
(""CMA Code""+""0""+""Census Tract ID""),
n=531","CT ID - Census Tract Identifier,
n=531","Neighb ID, 
 n=140","Neighbourhood Name,
 n=140","CPA ID,
n=46","CPA Name 
(Community Planning Area),
 n=46","Sub-LHIN ID,
n=14","Sub-LHIN Name, 
n=14","LHIN ID,
n=5","LHIN Name, 
n=5"
5350029.00,29.00,70,South Riverdale,752,South Riverdale Greenwood,0705,South East,7,Toronto Central
5350030.00,30.00,72,Regent Park,751,East Downtown,0705,South East,7,Toronto Central
5350031.00,31.00,72,Regent Park,751,East Downtown,0705,South East,7,Toronto Central
5350032.00,32.00,73,Moss Park,751,East Downtown,0705,South East,7,Toronto Central
5350033.00,33.00,73,Moss Park,751,East Downtown,0705,South East,7,Toronto Central
5350034.00,34.00,75,Church-Yonge Corridor,751,East Downtown,0705,South East,7,Toronto Central
5350035.00,35.00,76,Bay Street Corridor,733,Downtown Centre,0703,South West,7,Toronto Central
5350036.00,36.00,78,Kensington-Chinatown,732,West Downtown,0703,South West,7,Toronto Central
5350037.00,37.00,78,Kensington-Chinatown,732,West Downtown,0703,South West,7,Toronto Central
5350038.00,38.00,78,Kensington-Chinatown,732,West Downtown,0703,South West,7,Toronto Central
5350039.00,39.00,78,Kensington-Chinatown,732,West Downtown,0703,South West,7,Toronto Central
5350040.00,40.00,81,Trinity-Bellwoods,732,West Downtown,0703,South West,7,Toronto Central
5350041.00,41.00,81,Trinity-Bellwoods,732,West Downtown,0703,South West,7,Toronto Central
5350042.00,42.00,81,Trinity-Bellwoods,732,West Downtown,0703,South West,7,Toronto Central
5350043.00,43.00,81,Trinity-Bellwoods,732,West Downtown,0703,South West,7,Toronto Central
5350044.00,44.00,84,Little Portugal,732,West Downtown,0703,South West,7,Toronto Central
5350045.00,45.00,84,Little Portugal,732,West Downtown,0703,South West,7,Toronto Central
5350046.00,46.00,84,Little Portugal,732,West Downtown,0703,South West,7,Toronto Central
5350047.01,47.01,86,Roncesvalles,731,Parkdale Roncesvalles,0703,South West,7,Toronto Central
5350047.02,47.02,86,Roncesvalles,731,Parkdale Roncesvalles,0703,South West,7,Toronto Central
5350048.00,48.00,86,Roncesvalles,731,Parkdale Roncesvalles,0703,South West,7,Toronto Central
5350049.00,49.00,87,High Park-Swansea,712,Kingsway Swansea,0701,West,7,Toronto Central
5350050.01,50.01,87,High Park-Swansea,712,Kingsway Swansea,0701,West,7,Toronto Central
5350050.02,50.02,87,High Park-Swansea,712,Kingsway Swansea,0701,West,7,Toronto Central
5350051.00,51.00,87,High Park-Swansea,712,Kingsway Swansea,0701,West,7,Toronto Central
5350052.00,52.00,86,Roncesvalles,731,Parkdale Roncesvalles,0703,South West,7,Toronto Central
5350053.00,53.00,83,Dufferin Grove,721,Dovercourt College,0702,North West,7,Toronto Central
5350054.00,54.00,83,Dufferin Grove,721,Dovercourt College,0702,North West,7,Toronto Central
5350055.00,55.00,80,Palmerston-Little Italy,721,Dovercourt College,0702,North West,7,Toronto Central
5350056.00,56.00,80,Palmerston-Little Italy,721,Dovercourt College,0702,North West,7,Toronto Central
5350057.00,57.00,80,Palmerston-Little Italy,721,Dovercourt College,0702,North West,7,Toronto Central
5350058.00,58.00,80,Palmerston-Little Italy,721,Dovercourt College,0702,North West,7,Toronto Central
5350059.00,59.00,79,University,721,Dovercourt College,0702,North West,7,Toronto Central
5350060.00,60.00,79,University,721,Dovercourt College,0702,North West,7,Toronto Central
5350061.00,61.00,79,University,721,Dovercourt College,0702,North West,7,Toronto Central
5350062.01,62.01,76,Bay Street Corridor,733,Downtown Centre,0703,South West,7,Toronto Central
5350062.02,62.02,76,Bay Street Corridor,733,Downtown Centre,0703,South West,7,Toronto Central
5350063.01,63.01,75,Church-Yonge Corridor,751,East Downtown,0705,South East,7,Toronto Central
5350063.02,63.02,75,Church-Yonge Corridor,751,East Downtown,0705,South East,7,Toronto Central
5350064.00,64.00,74,North St. James Town,751,East Downtown,0705,South East,7,Toronto Central
5350065.00,65.00,74,North St. James Town,751,East Downtown,0705,South East,7,Toronto Central
5350066.00,66.00,71,Cabbagetown-South St. James Town,751,East Downtown,0705,South East,7,Toronto Central
5350067.00,67.00,71,Cabbagetown-South St. James Town,751,East Downtown,0705,South East,7,Toronto Central
5350068.00,68.00,71,Cabbagetown-South St. James Town,751,East Downtown,0705,South East,7,Toronto Central
5350069.00,69.00,68,North Riverdale,742,Leaside North Riverdale,0704,North Toronto,7,Toronto Central
5350070.00,70.00,68,North Riverdale,742,Leaside North Riverdale,0704,North Toronto,7,Toronto Central
5350071.00,71.00,68,North Riverdale,742,Leaside North Riverdale,0704,North Toronto,7,Toronto Central
5350072.01,72.01,69,Blake-Jones,752,South Riverdale Greenwood,0705,South East,7,Toronto Central
5350072.02,72.02,69,Blake-Jones,752,South Riverdale Greenwood,0705,South East,7,Toronto Central
5350073.00,73.00,70,South Riverdale,752,South Riverdale Greenwood,0705,South East,7,Toronto Central
5350074.00,74.00,65,Greenwood-Coxwell,752,South Riverdale Greenwood,0705,South East,7,Toronto Central
5350075.00,75.00,65,Greenwood-Coxwell,752,South Riverdale Greenwood,0705,South East,7,Toronto Central
5350076.00,76.00,64,Woodbine Corridor,761,Beaches Woodbine,0706,East,7,Toronto Central
5350077.00,77.00,64,Woodbine Corridor,761,Beaches Woodbine,0706,East,7,Toronto Central
5350078.00,78.00,62,East End-Danforth,761,Beaches Woodbine,0706,East,7,Toronto Central
5350079.00,79.00,62,East End-Danforth,761,Beaches Woodbine,0706,East,7,Toronto Central
5350080.01,80.01,62,East End-Danforth,761,Beaches Woodbine,0706,East,7,Toronto Central
5350080.02,80.02,62,East End-Danforth,761,Beaches Woodbine,0706,East,7,Toronto Central
5350081.00,81.00,66,Danforth Village - Toronto,762,Danforth Village Old East York,0706,East,7,Toronto Central
5350082.00,82.00,66,Danforth Village - Toronto,762,Danforth Village Old East York,0706,East,7,Toronto Central
5350083.00,83.00,66,Danforth Village - Toronto,762,Danforth Village Old East York,0706,East,7,Toronto Central
5350084.00,84.00,67,Playter Estates-Danforth,742,Leaside North Riverdale,0704,North Toronto,7,Toronto Central
5350085.00,85.00,67,Playter Estates-Danforth,742,Leaside North Riverdale,0704,North Toronto,7,Toronto Central
5350086.00,86.00,98,Rosedale-Moore Park,741,Midtown South,0704,North Toronto,7,Toronto Central
5350087.00,87.00,98,Rosedale-Moore Park,741,Midtown South,0704,North Toronto,7,Toronto Central
5350088.00,88.00,98,Rosedale-Moore Park,741,Midtown South,0704,North Toronto,7,Toronto Central
5350089.00,89.00,95,Annex,741,Midtown South,0704,North Toronto,7,Toronto Central
5350090.00,90.00,95,Annex,741,Midtown South,0704,North Toronto,7,Toronto Central
5350091.01,91.01,95,Annex,741,Midtown South,0704,North Toronto,7,Toronto Central
5350091.02,91.02,95,Annex,741,Midtown South,0704,North Toronto,7,Toronto Central
5350092.00,92.00,95,Annex,741,Midtown South,0704,North Toronto,7,Toronto Central
5350093.00,93.00,95,Annex,741,Midtown South,0704,North Toronto,7,Toronto Central
